id	title	link	price	description	condition	gtin	brand	mpn	image_link	product_type	availability	quantity	shipping	TVA	feature	online_only	manufacturer	expiration_date	shipping_weight	genre	featured_product	color	size	year	author	edition
665-693	 mousse nettoyante [melvita] volume - 50 ml	http://www.lilibio.com/nettoyant/665-mousse-nettoyante.html	11.9	 Cassis, anis vert, olive -                         Complexe anti-pollution.	new				http://www.lilibio.com/img/p/665-811-large.jpg	Visage>Nettoyant	in stock	4	:::5.9			y	Melvita		0		n					
884-973	 gel dermo-nettoyant à l'eau thermale de jonzac [jonzac] volume - 200	http://www.lilibio.com/nettoyant/884-gel-dermo-nettoyant-a-l-eau-thermale-de-jonzac.html	7.9	Nettoie et élimine les impuretés. Adapté aux peaux les plus sensibles, normales à mixtes.	new				http://www.lilibio.com/img/p/884-1144-large.jpg	Visage>Nettoyant	in stock	2	:::5.9			y	Jonzac		0		n					
14-723	 aube d'été [les douces angevines] volume - 15 ml	http://www.lilibio.com/creme-hydratante/14-aube-d-ete.html	25.8	Fluide de jour lumineux, peaux normales et mixtes.	new				http://www.lilibio.com/img/p/14-54-large.jpg	Visage>Soin hydratant	in stock	2	:::5.9			y	Les douces angevines		0		n					
43-76	 elixir végétal [cattier] volume - 50 ml	http://www.lilibio.com/creme-hydratante/43-elixir-vegetal.html	16.7	Crème de jour hydratanteVéritable soin douceur des peaux normales à mixtes, la crème Elixir Végétal purifie et nourrit votre peau.	new				http://www.lilibio.com/img/p/43-83-large.jpg	Visage>Soin hydratant	in stock	4	:::5.9			y	Cattier		0		n					
44-77	 secret botanique [cattier] volume - 50 ml	http://www.lilibio.com/creme-hydratante/44-secret-botanique.html	19.5	Crème hydratante Véritable soin douceur des peaux sèches et sensibles,la crème Secret Botanique, protège et nourrit votre peau.	new				http://www.lilibio.com/img/p/44-111-large.jpg	Visage>Soin hydratant	in stock	2	:::5.9			y	Cattier		0		n					
153-206	 fluide matifiant anti-âge [elicey] volume - 50 ml	http://www.lilibio.com/creme-hydratante/153-fluide-matifiant-anti-age.html	22.9	Bioénérgisant et anti-oxydant à la figue.	new				http://www.lilibio.com/img/p/153-247-large.jpg	Visage>Soin hydratant	in stock	3	:::5.9			y	Elicey		0		y					
158-211	 soin de jour bio anti-âge [tamalys] volume - 30 ml	http://www.lilibio.com/creme-hydratante/158-soin-de-jour-bio-anti-age.html	27.9	Pour une hydtatation et une action anti-rides au naturel.	new				http://www.lilibio.com/img/p/158-255-large.jpg	Visage>Soin hydratant	in stock	1	:::5.9			y	Tamalys		0		y					
159-212	 soin du soir anti-âge [tamalys] volume - 30 ml	http://www.lilibio.com/creme-hydratante/159-soin-du-soir-anti-age.html	27.9	Pour redensifier et hydrater la peau tout au long de la nuit.	new				http://www.lilibio.com/img/p/159-256-large.jpg	Visage>Soin hydratant	in stock	7	:::5.9			y	Tamalys		0		y					
175-228	 fluide énergissant bioéclat [natessance] volume - 50 ml	http://www.lilibio.com/creme-hydratante/175-fluide-energissant-bioeclat.html	21.9	Véritable booster de luminosité grâce à ces druit d'été.	new				http://www.lilibio.com/img/p/175-274-large.jpg	Visage>Soin hydratant	in stock	1	:::5.9			y	Natessance		0		n					
234-289	 crème hydratante fondante visage [florame] volume - 30 ml	http://www.lilibio.com/creme-hydratante/234-creme-hydratante-fondante-visage.html	21.9	Soin quotidien et protecteur des peaux normales à mixtes.	new				http://www.lilibio.com/img/p/234-337-large.jpg	Visage>Soin hydratant	in stock	4	:::5.9			y	Florame		0		n					
411-456	 baume généreux visage au lait d'anesse [les ânes d'autan] volume -	http://www.lilibio.com/creme-hydratante/411-baume-genereux-visage-au-lait-d-anesse.html	19.9	Le soin idéal des peaux sèches et sensibles.	new				http://www.lilibio.com/img/p/411-531-large.jpg	Visage>Soin hydratant	in stock	3	:::5.9			y	Les ânes d'autan		0		n					
417-461	 crème hydratante à l'aloé vera [naturaloé] volume - 50 ml	http://www.lilibio.com/creme-hydratante/417-creme-hydratante-a-l-aloe-vera.html	23.9	Soin réhydratant longue durée.	new				http://www.lilibio.com/img/p/417-537-large.jpg	Visage>Soin hydratant	in stock	3	:::5.9			y	Naturaloé		0		n					
430-473	 crème htdratante précieuse a l'edelweiss [phytonature] volume - 30 	http://www.lilibio.com/creme-hydratante/430-creme-htdratante-precieuse-a-l-edelweiss.html	16.9	Beauté et rareté... pour protéger votre peau et l'hydrater durablement.	new				http://www.lilibio.com/img/p/430-550-large.jpg	Visage>Soin hydratant	in stock	6	:::5.9			y	Phytonature		0.04		n					
432-475	 fluide confort à l'amande [weleda] volume - 30 ml	http://www.lilibio.com/creme-hydratante/432-fluide-confort-a-l-amande.html	12.5	Pour les peaux sensibles et réactives.	new				http://www.lilibio.com/img/p/432-552-large.jpg	Visage>Soin hydratant	in stock	5	:::5.9			y	Weleda		0		n					
433-476	 crème confort à l'amande [weleda] volume - 30 ml	http://www.lilibio.com/creme-hydratante/433-creme-confort-a-l-amande.html	12.5	Pour les peaux sensibles à tendance sèche.	new				http://www.lilibio.com/img/p/433-553-large.jpg	Visage>Soin hydratant	in stock	4	:::5.9			y	Weleda		0		n					
436-479	 fluide hydratant à l'iris [weleda] volume - 30 ml	http://www.lilibio.com/creme-hydratante/436-fluide-hydratant-a-l-iris.html	11.4	Soin des peaux normales à mixtes.	new				http://www.lilibio.com/img/p/436-590-large.jpg	Visage>Soin hydratant	in stock	4	:::5.9			y	Weleda		0		n					
437-480	 cèmr hydratante à l'iris [weleda] volume - 30 ml	http://www.lilibio.com/creme-hydratante/437-cemr-hydratante-a-l-iris.html	11.4	Soin des peaux très déshydratées.	new				http://www.lilibio.com/img/p/437-557-large.jpg	Visage>Soin hydratant	in stock	4	:::5.9			y	Weleda		0		n					
456-497	 crème hydratante légère lift argan [natessance] volume - 50 ml	http://www.lilibio.com/creme-hydratante/456-creme-hydratante-legere-lift-argan.html	12.9	Le nouveau soin super hydratant.	new				http://www.lilibio.com/img/p/456-576-large.jpg	Visage>Soin hydratant	in stock	4	:::5.9			y	Natessance		0		n					
457-498	 crème hydratante riche lift argan [natessance] volume - 50 ml	http://www.lilibio.com/creme-hydratante/457-creme-hydratante-riche-lift-argan.html	12.9	Le nouveau soin super hydratant.	new				http://www.lilibio.com/img/p/457-577-large.jpg	Visage>Soin hydratant	in stock	5	:::5.9			y	Natessance		0		n					
634-676	 crème visage jour [marilou bio] volume - 30 ml	http://www.lilibio.com/creme-hydratante/634-creme-visage-jour.html	3.9	Vôtre peau est nourrit au quotidien.	new				http://www.lilibio.com/img/p/634-776-large.jpg	Visage>Soin hydratant	in stock	6	:::5.9			y	Marilou bio		0		n					
661-687	 nectar de rose [melvita] volume - 50 ml	http://www.lilibio.com/creme-hydratante/661-nectar-de-rose.html	24.9	Pétales, baies et expressions de rose - Crème jour despeaux délicates.	new				http://www.lilibio.com/img/p/661-805-large.jpg	Visage>Soin hydratant	in stock	2	:::5.9			y	Melvita		0		n					
675-701	 hydratsim [melvita] volume - 50 ml	http://www.lilibio.com/creme-hydratante/675-hydratsim.html	19.9	 Noni, mourera, aloe vera -                         Gel désaltérant des peaux deshydratées.	new				http://www.lilibio.com/img/p/675-821-large.jpg	Visage>Soin hydratant	in stock	4	:::5.9			y	Melvita		0		n					
735-752	 crème vivifiante [melvita] volume - 50 ml	http://www.lilibio.com/creme-hydratante/735-creme-vivifiante.html	15.9	 Propolis, abricot, jojoba -                         Peaux normales à mixtes.	new				http://www.lilibio.com/img/p/735-883-large.jpg	Visage>Soin hydratant	in stock	3	:::5.9			y	Melvita		0		n					
736-753	 crème revitalisante apicosma [melvita] volume - 50 ml	http://www.lilibio.com/creme-hydratante/736-creme-revitalisante-apicosma.html	15.9	 Oranger, pollen, karité -                         Peaux sensibles - Sans parfum.	new				http://www.lilibio.com/img/p/736-884-large.jpg	Visage>Soin hydratant	in stock	3	:::5.9			y	Melvita		0		n					
877-963	 soin riche réhydratant [jonzac] volume - 50 ml	http://www.lilibio.com/creme-hydratante/877-soin-riche-rehydratant.html	11.9	Soin riche réhydratant pour les peaux déshydratées et sensibles, à l'Eau Thermale de Jonzac.	new				http://www.lilibio.com/img/p/877-1134-large.jpg	Visage>Soin hydratant	in stock	4	:::5.9			y	Jonzac		0		n					
878-964	 soin léger réhydratant  [jonzac] volume - 50 ml	http://www.lilibio.com/creme-hydratante/878-soin-leger-rehydratant-.html	11.9	Soin léger réhydratant pour les peaux déshydratées et sensibles, à l'Eau Thermale de Jonzac.	new				http://www.lilibio.com/img/p/878-1135-large.jpg	Visage>Soin hydratant	in stock	1	:::5.9			y	Jonzac		0		n					
149-202	 huile précieuse d'argan [elicey] volume - 50 ml	http://www.lilibio.com/creme-nourrissante/149-huile-precieuse-d-argan.html	31.9	Concentré d'huile d'argan enrichie en actif anti-pollution et vitamine E.	new				http://www.lilibio.com/img/p/149-241-large.jpg	Visage>Soin nourrissant	in stock	3	:::5.9			y	Elicey		0		y					
205-261	 crème de jour au karité bio [natessance] volume - 50 ml	http://www.lilibio.com/creme-nourrissante/205-creme-de-jour-au-karite-bio.html	9.9	Pour les peaux agréssées et désséchées.	new				http://www.lilibio.com/img/p/205-306-large.jpg	Visage>Soin nourrissant	in stock	1	:::5.9			y	Natessance		0		n					
214-270	 crème hydratation intense-anti-rides bio [natessance] volume - 50 ml	http://www.lilibio.com/creme-nourrissante/214-creme-hydratation-intense-anti-rides-bio.html	22.9	Texture ultra réconfortante pour les peaux sèches.	new				http://www.lilibio.com/img/p/214-315-large.jpg	Visage>Soin nourrissant	in stock	3	:::5.9			y	Natessance		0		n					
235-290	 crème nutritive onctueuse peaux sèches [florame] volume - 30 ml	http://www.lilibio.com/creme-nourrissante/235-creme-nutritive-onctueuse-peaux-seches.html	21.9	Soin quotidien et relipidiant des peaux sèches.	new				http://www.lilibio.com/img/p/235-338-large.jpg	Visage>Soin nourrissant	in stock	3	:::5.9			y	Florame		0		n					
250-305	 crème visage réparatrice [florame] volume - 50 ml	http://www.lilibio.com/creme-nourrissante/250-creme-visage-reparatrice.html	17.9	Soin des peaux sèches et agréssées.	new				http://www.lilibio.com/img/p/250-353-large.jpg	Visage>Soin nourrissant	in stock	6	:::5.9			y	Florame		0		n					
419-463	 crème de jour nourrissante à l'aloé vera [naturaloé] volume - 50 	http://www.lilibio.com/creme-nourrissante/419-creme-de-jour-nourrissante-a-l-aloe-vera.html	23.9	Le soin des peaux délipidées.	new				http://www.lilibio.com/img/p/419-539-large.jpg	Visage>Soin nourrissant	in stock	3	:::5.9			y	Naturaloé		0		n					
434-477	 huile confort à l'amande [weleda] volume - 50 ml	http://www.lilibio.com/creme-nourrissante/434-huile-confort-a-l-amande.html	12.7	Soin intensif apaisant.	new				http://www.lilibio.com/img/p/434-554-large.jpg	Visage>Soin nourrissant	in stock	6	:::5.9			y	Weleda		0		n					
470-511	 cold cream [weleda] volume - 30 ml	http://www.lilibio.com/creme-nourrissante/470-cold-cream.html	7.1	Soin grand froid pour peaux sèches à très sèches.	new				http://www.lilibio.com/img/p/470-592-large.jpg	Visage>Soin nourrissant	in stock	9	:::5.9			y	Weleda		0		n					
471-512	 crème médicinale [weleda] volume - 30 ml	http://www.lilibio.com/creme-nourrissante/471-creme-medicinale.html	7.1	Soin répérateur des peaux agréssées ou exposées.	new				http://www.lilibio.com/img/p/471-593-large.jpg	Visage>Soin nourrissant	in stock	6	:::5.9			y	Weleda		0		n					
496-538	 crème au calendula [weleda] volume - 75 ml	http://www.lilibio.com/creme-nourrissante/496-creme-au-calendula.html	7.1	Nourrit et protège.	new				http://www.lilibio.com/img/p/496-621-large.jpg	Visage>Soin nourrissant	in stock	2	:::5.9			y	Weleda		0		n					
683-708	 crème riche [melvita] volume - 50 ml	http://www.lilibio.com/creme-nourrissante/683-creme-riche.html	22.9	 Onagre, bourrache, karité - Hydra protectrice des peaux sèches.	new				http://www.lilibio.com/img/p/683-829-large.jpg	Visage>Soin nourrissant	in stock	4	:::5.9			y	Melvita		0		n					
701-716	 crème universelle [melvita] volume - 150 ml	http://www.lilibio.com/creme-nourrissante/701-creme-universelle.html	14.9	 miel - karité - sésame -                         Pour toute la famille et à tout moments.	new				http://www.lilibio.com/img/p/701-846-large.jpg	Visage>Soin nourrissant	in stock	5	:::5.9			y	Melvita		0		n					
734-751	 crème hydratant apicosma [melvita] volume - 50 ml	http://www.lilibio.com/creme-nourrissante/734-creme-hydratant-apicosma.html	15.9	 Gelée royale, châtaigne -                         Peaux sèches et délipidées.	new				http://www.lilibio.com/img/p/734-882-large.jpg	Visage>Soin nourrissant	in stock	4	:::5.9			y	Melvita		0		n					
737-754	 crème nutritive apicosma [melvita] volume - 50 ml	http://www.lilibio.com/creme-nourrissante/737-creme-nutritive-apicosma.html	15.9	 Miel, acide hyaluronique - Anti-rides des peaux très sèches.	new				http://www.lilibio.com/img/p/737-885-large.jpg	Visage>Soin nourrissant	in stock	3	:::5.9			y	Melvita		0		n					
784-801	 flamenca [les douces angevines] volume - 15 ml	http://www.lilibio.com/creme-nourrissante/784-flamenca.html	25.8	Fluide de jour réconfortant, peaux sèches et sensibles	new				http://www.lilibio.com/img/p/784-933-large.jpg	Visage>Soin nourrissant	in stock	3	:::5.9			y	Les douces angevines		0		n					
20-380	 lia [les douces angevines] volume - 15 ml	http://www.lilibio.com/contour-des-yeux/20-lia.html	62.9	Fluide divin yeux et lèvres, protège et régénère.	new				http://www.lilibio.com/img/p/20-63-large.jpg	Visage>Contour des yeux	in stock	2	:::5.9			y	Les douces angevines		0		n					
