id;title;link;price;description;condition;ean;brand;mpn;image_link;product_type;availability;quantity;shipping;TVA;feature;online_only;manufacturer;expiration_date;shipping_weight;genre;featured_product;color;size;year;author;edition;google_product_category
43-76;crème de jour elixir végétal   [cattier] volume - 50 ml;http://www.lilibio.com/creme-hydratante/43-elixir-vegetal.html;17.9;Véritable soin douceur des peaux normales à mixtes, la crème Elixir Végétal purifie et nourrit votre peau.;new;3283950911450;Cattier;;http://www.lilibio.com/img/p/43-83-large.jpg;Visage>Soin hydratant;in stock;4;:::5.9;;;y;Cattier;;0;;n;;;;;;
44-77; crème de jour hydratante secret botanique   [cattier] volume - 50 ml;http://www.lilibio.com/creme-hydratante/44-secret-botanique.html;20.9;Véritable soin douceur des peaux sèches et sensibles, la crème Secret Botanique, protège et nourrit votre peau. Sans parfun elle est adaptée aux peaux réactives et alléregiques.;new;3283950911467;Cattier;;http://www.lilibio.com/img/p/44-111-large.jpg;Visage>Soin hydratant;in stock;4;:::5.9;;;y;Cattier;;0;;n;;;;;;
175-228; crème énergisante bioéclat [natessance] volume - 50 ml;http://www.lilibio.com/creme-hydratante/175-fluide-energissant-bioeclat.html;18.9;Cette crème énergisante Bioéclat est un véritable booster de luminosité grâce à l'action dynamisante et pétillante des fruits d'été.2 produits Bioéclat achetés = 1 gommage dynamisant Bioéclat OFFERT;new;3517360052558;Natessance;;http://www.lilibio.com/img/p/175-274-large.jpg;Visage>Soin hydratant;in stock;1;:::5.9;;;y;Natessance;;0;;n;;;;;;
411-456; baume généreux visage au lait d'ânesse   [les ânes d'autan] volum;http://www.lilibio.com/creme-hydratante/411-baume-genereux-visage-au-lait-d-anesse.html;19.9;Ce soin ontueux au lait d'anesse s'adapte à toutes les peaux en toute saison. Idéal pour les peaux sensibles et réactives des petits et des grands. A base de 5% de lait cru. ;new;3760160050051;Les ânes d'autan;;http://www.lilibio.com/img/p/411-531-large.jpg;Visage>Soin hydratant;in stock;3;:::5.9;;;y;Les ânes d'autan;;0;;n;;;;;;
417-461; crème hydratante à l'aloé vera [naturaloé] volume - 50 ml;http://www.lilibio.com/creme-hydratante/417-creme-hydratante-a-l-aloe-vera.html;23.9;La crème hydratatnte de Naturaloé est le soin réhydratant longue durée des peaux normales. Elle maintient une hydratation optimale tout au long de la journée.;new;3760101450032;Naturaloé;;http://www.lilibio.com/img/p/417-537-large.jpg;Visage>Soin hydratant;in stock;3;:::5.9;;;y;Naturaloé;;0;;n;;;;;;
430-473; crème hydratante précieuse à l'edelweiss   [plante system] volume ;http://www.lilibio.com/creme-hydratante/430-creme-htdratante-precieuse-a-l-edelweiss.html;16.9;Beauté et rareté... pour protéger votre peau et l'hydrater durablement. Ce soin maintient efficacement l'hydratation de la peau et la protège des agressions climatiques et de la pollution. Récompensée aux victoires de la beauté 2010-2011;new;3401396052364;Plante system;;http://www.lilibio.com/img/p/430-550-large.jpg;Visage>Soin hydratant;in stock;4;:::5.9;;;y;Plante system;;0.04;;n;;;;;;
431-474; fluide hydratant à l'edelweiss   [plante system] volume - 30 ml;http://www.lilibio.com/creme-hydratante/431-fluide-hydratant-a-l-edelweiss.html;16.9;Soin hydratant pour peaux normales et mixtes. Ce soin hydrate durablement et protège votre peau des agressions climatiques responsables du vieillissement accéléré.;new;3401396052425;Plante system;;http://www.lilibio.com/img/p/431-551-large.jpg;Visage>Soin hydratant;in stock;1;:::5.9;;;y;Plante system;;0.4;;n;;;;;;
432-475; fluide confort à l'amande [weleda] volume - 30 ml;http://www.lilibio.com/creme-hydratante/432-fluide-confort-a-l-amande.html;12.5;Le Fluide Confort absolu de Weleda convient en soin de jour comme de nuit. Pour peaux sensibles et mixtes.;new;3596209532666;Weleda;;http://www.lilibio.com/img/p/432-552-large.jpg;Visage>Soin hydratant;in stock;4;:::5.9;;;y;Weleda;;0;;n;;;;;;
433-476; crème confort à l'amande [weleda] volume - 30 ml;http://www.lilibio.com/creme-hydratante/433-creme-confort-a-l-amande.html;12.5;La Crème Confort absolu possède une texture riche, qui convient en soin de jour comme de nuit. Pour peaux sensibles et sèches.;new;3596209532659;Weleda;;http://www.lilibio.com/img/p/433-553-large.jpg;Visage>Soin hydratant;in stock;3;:::5.9;;;y;Weleda;;0;;n;;;;;;
436-479; fluide hydratant à l'iiris [weleda] volume - 30 ml;http://www.lilibio.com/creme-hydratante/436-fluide-hydratant-a-l-iris.html;11.4;Le Fluide hydratant à l'Iris de Weleda convient en soin de jour comme de nuit. Pour peaux normales à mixtes.;new;3596209530310;Weleda;;http://www.lilibio.com/img/p/436-590-large.jpg;Visage>Soin hydratant;in stock;4;:::5.9;;;y;Weleda;;0;;n;;;;;;
