categorie|identifiant_unique|titre|description|prix|URL_produit|URL_image|frais_de_port|disponibilite|delai_de_livraison|garantie|reference_modele|D3E|marque|EAN|prix_barre|devise|occasion|type_promotion|URL_mobile
Visage>Soin hydratant|411-456| Baume généreux visage au lait d'anesse   [Les ânes d'autan] Volume - 50 mL|Ce soin ontueux au lait d'anesse s'adapte à toutes les peaux en toute saison. Idéal pour les peaux sensibles et réactives des petits et des  grands. A base de 5% de lait cru. |19.9|http://www.lilibio.com/creme-hydratante/411-baume-genereux-visage-au-lait-d-anesse.html|http://www.lilibio.com/img/p/411-531-large.jpg|5.9|0|1 jour|0||0.00|Les ânes d'autan|3760160050051||EUR|0|0|
Visage>Soin hydratant|417-461| Crème hydratante à l'aloé vera   [Naturaloé] Volume - 50 mL|Soin réhydratant longue durée.|23.9|http://www.lilibio.com/creme-hydratante/417-creme-hydratante-a-l-aloe-vera.html|http://www.lilibio.com/img/p/417-537-large.jpg|5.9|0|1 jour|0||0.00|Naturaloé|3760101450032||EUR|0|0|
Visage>Soin hydratant|430-473| Crème hytdratante précieuse a l'edelweiss   [Plante system] Volume - 30 mL|Beauté et rareté... pour protéger votre peau et l'hydrater durablement.|16.9|http://www.lilibio.com/creme-hydratante/430-creme-htdratante-precieuse-a-l-edelweiss.html|http://www.lilibio.com/img/p/430-550-large.jpg|5.9|0|1 jour|0||0.00|Plante system|3401396052364||EUR|0|0|
Visage>Soin hydratant|431-474| Fluide hydratant a l'edelweiss   [Plante system] Volume - 30 mL|Soin hydratant pour peaux normales et mixtes.|16.9|http://www.lilibio.com/creme-hydratante/431-fluide-hydratant-a-l-edelweiss.html|http://www.lilibio.com/img/p/431-551-large.jpg|5.9|0|1 jour|0||0.00|Plante system|3401396052425||EUR|0|0|
Visage>Soin hydratant|432-475| Fluide confort à l'amande   [Weleda] Volume - 30 mL|Pour les peaux sensibles et réactives.|12.5|http://www.lilibio.com/creme-hydratante/432-fluide-confort-a-l-amande.html|http://www.lilibio.com/img/p/432-552-large.jpg|5.9|0|1 jour|0||0.00|Weleda|3596209532666||EUR|0|0|
Visage>Soin hydratant|433-476| Crème confort à l'amande   [Weleda] Volume - 30 mL|Pour les peaux sensibles à tendance sèche.|12.5|http://www.lilibio.com/creme-hydratante/433-creme-confort-a-l-amande.html|http://www.lilibio.com/img/p/433-553-large.jpg|5.9|0|1 jour|0||0.00|Weleda|3596209532659||EUR|0|0|
Visage>Soin hydratant|436-479| Fluide hydratant à l'iris   [Weleda] Volume - 30 mL|Soin des peaux normales à mixtes.|11.4|http://www.lilibio.com/creme-hydratante/436-fluide-hydratant-a-l-iris.html|http://www.lilibio.com/img/p/436-590-large.jpg|5.9|0|1 jour|0||0.00|Weleda|3596209530310||EUR|0|0|
Visage>Soin hydratant|437-480| Cèmr hydratante à l'iris   [Weleda] Volume - 30 mL|Soin des peaux très déshydratées.|11.4|http://www.lilibio.com/creme-hydratante/437-creme-hydratante-a-l-iris.html|http://www.lilibio.com/img/p/437-557-large.jpg|5.9|0|1 jour|0||0.00|Weleda|3596209530327||EUR|0|0|
Visage>Soin hydratant|456-497| Crème hydratante légère Lift Argan   [Natessance] Volume - 50 mL|Le nouveau soin super hydratant.|12.9|http://www.lilibio.com/creme-hydratante/456-creme-hydratante-legere-lift-argan.html|http://www.lilibio.com/img/p/456-576-large.jpg|5.9|0|1 jour|0||0.00|Natessance|3517360002126||EUR|0|0|
Visage>Soin hydratant|457-498| Crème hydratante riche Lift argan   [Natessance] Volume - 50 mL|Le nouveau soin super hydratant.|12.9|http://www.lilibio.com/creme-hydratante/457-creme-hydratante-riche-lift-argan.html|http://www.lilibio.com/img/p/457-577-large.jpg|5.9|0|1 jour|0||0.00|Natessance|3517360002119||EUR|0|0|
Visage>Soin hydratant|634-676| Crème visage jour   [Marilou bio] Volume - 30 mL|Vôtre peau est nourrit au quotidien.|3.9|http://www.lilibio.com/creme-hydratante/634-creme-visage-jour.html|http://www.lilibio.com/img/p/634-776-large.jpg|5.9|0|1 jour|0||0.00|Marilou bio|3760143830502||EUR|0|0|
