product_url;designation;price;category;image_url;description;merchand_id;manufacturer_id;shipping_cost;in_stock;stock_detail;condition;upc_ean;product_type;ISBN;brand
http://www.lilibio.com/nettoyant/643-gel-nettoyant-visage.html;Gel nettoyant visage Volume - 75 mL;3.9;Visage>Nettoyant;http://www.lilibio.com/img/p/643-785-large.jpg;Une peau propre en un seul geste.;643-685;;5.9;Y;6;0;3760143830618;1;;
http://www.lilibio.com/nettoyant/665-mousse-nettoyante.html;Mousse nettoyante Volume - 50 mL;11.9;Visage>Nettoyant;http://www.lilibio.com/img/p/665-811-large.jpg; Cassis, anis vert, olive -                         Complexe anti-pollution.;665-693;;5.9;Y;4;0;3284410014179;1;;
http://www.lilibio.com/nettoyant/884-gel-dermo-nettoyant-a-l-eau-thermale-de-jonzac.html;Gel dermo-nettoyant à l'Eau thermale de Jonzac Volume - 200 mL;7.9;Visage>Nettoyant;http://www.lilibio.com/img/p/884-1144-large.jpg;Nettoie et élimine les impuretés. Adapté aux peaux les plus sensibles, normales à mixtes.;884-973;;5.9;Y;2;0;3517360001464;1;;
http://www.lilibio.com/creme-hydratante/14-aube-d-ete.html;Aube d'été Volume - 15 mL;25.8;Visage>Soin hydratant;http://www.lilibio.com/img/p/14-54-large.jpg;Fluide de jour lumineux, peaux normales et mixtes.;14-723;;5.9;Y;2;0;;1;;
http://www.lilibio.com/creme-hydratante/43-elixir-vegetal.html;Elixir végétal Volume - 50 mL;16.7;Visage>Soin hydratant;http://www.lilibio.com/img/p/43-83-large.jpg;Crème de jour hydratanteVéritable soin douceur des peaux normales à mixtes, la crème Elixir Végétal purifie et nourrit votre peau.;43-76;;5.9;Y;4;0;;1;;
http://www.lilibio.com/creme-hydratante/44-secret-botanique.html;Secret botanique Volume - 50 mL;19.5;Visage>Soin hydratant;http://www.lilibio.com/img/p/44-111-large.jpg;Crème hydratante Véritable soin douceur des peaux sèches et sensibles,la crème Secret Botanique, protège et nourrit votre peau.;44-77;;5.9;Y;2;0;;1;;
http://www.lilibio.com/creme-hydratante/153-fluide-matifiant-anti-age.html;Fluide matifiant anti-âge Volume - 50 mL;22.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/153-247-large.jpg;Bioénérgisant et anti-oxydant à la figue.;153-206;;5.9;Y;3;0;;1;;
http://www.lilibio.com/creme-hydratante/158-soin-de-jour-bio-anti-age.html;Soin de jour anti-âge Volume - 30 mL;27.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/158-255-large.jpg;Pour une hydtatation et une action anti-rides au naturel.;158-211;;5.9;Y;1;0;3770000398014;1;;
http://www.lilibio.com/creme-hydratante/159-soin-du-soir-anti-age.html;Soin du soir anti-âge Volume - 30 mL;27.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/159-256-large.jpg;Pour redensifier et hydrater la peau tout au long de la nuit.;159-212;;5.9;Y;7;0;;1;;
http://www.lilibio.com/creme-hydratante/175-fluide-energissant-bioeclat.html;Fluide énergissant Bioéclat Lift'argan Volume - 50 mL;21.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/175-274-large.jpg;Véritable booster de luminosité grâce à ces druit d'été.;175-228;;5.9;Y;1;0;;1;;
http://www.lilibio.com/creme-hydratante/234-creme-hydratante-fondante-visage.html;Crème hydratante fondante Dermastress Volume - 30 mL;21.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/234-337-large.jpg;Soin quotidien et protecteur des peaux normales à mixtes.;234-289;;5.9;Y;4;0;3516170016910;1;;
http://www.lilibio.com/creme-hydratante/411-baume-genereux-visage-au-lait-d-anesse.html;Baume généreux visage au lait d'anesse Volume - 50 mL;19.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/411-531-large.jpg;Le soin idéal des peaux sèches et sensibles.;411-456;;5.9;Y;3;0;3760160050051;1;;
http://www.lilibio.com/creme-hydratante/417-creme-hydratante-a-l-aloe-vera.html;Crème hydratante à l'aloé vera Volume - 50 mL;23.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/417-537-large.jpg;Soin réhydratant longue durée.;417-461;;5.9;Y;3;0;3760101450032;1;;
http://www.lilibio.com/creme-hydratante/430-creme-htdratante-precieuse-a-l-edelweiss.html;Crème hydratante précieuse à l'edelweiss Volume - 30 mL;16.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/430-550-large.jpg;Beauté et rareté... pour protéger votre peau et l'hydrater durablement.;430-473;;5.9;Y;6;0;3401396052364;1;;
http://www.lilibio.com/creme-hydratante/432-fluide-confort-a-l-amande.html;Fluide confort à l'amande Volume - 30 mL;12.5;Visage>Soin hydratant;http://www.lilibio.com/img/p/432-552-large.jpg;Pour les peaux sensibles et réactives.;432-475;;5.9;Y;5;0;3596209532666;1;;
